NU_CTE_COD	EDAD	CD_ESTADO	CD_POSTAL	CD_SEXO
ABK0NHDA	68	DF	13360	M
M5JVN30B	22	JA	44760	M
RMMTWKSD	22	AG	20344	M
1VLE6Y9G	79	CH	32390	M
3CE1LE8Z	64	DU	34414	F
MV0G38ER	47	CA	24190	F
DWPAFY3Q	30	DF	14439	M
ABLZF7FM	40	JA	45070	M
R0CB78B7	22	EM	52928	M
ZRED9BV0	19	DF	09300	M
ZM0GRD8U	31	TM	87086	F
JE59J1CC	41	VE	91477	F
04SEMBV0	35	DF	11870	F
97KQXY8P	51	JA	44770	M
54ZFPLCJ	52	JA	44270	F
SXA5010S	45	JA	45653	F
29R7LSKX	50	DF	04600	M
0BVB9RAX	32	DF	06200	F
Y2W6ZZX6	27	EM	55975	F
GQUR70YV	30	JA	45580	M
BT03YGRT	59	BS	23477	M
A2LKFXVK	33	JA	45410	F
QCYZ6SWA	21	DF	01820	F
R0DVHTKK	26	NA	63783	M
1ZJBZK8Y	49	CS	29010	F
STL5Q4VH	21	NL	64979	M
TDBWYRTZ	77	BN	22180	M
5DT01H4N	52	JA	45417	M
44APM7N9	44	GU	36970	M
CWZE4K5W	45	VE	94732	M
JR00EP2N	31	SI	82000	F
S73WKJGE	28	PU	72270	M
40QQ4E7L	55	CA	24050	M
CDFTRT7A	32	NL	65515	F
D545B58B	41	EM	57000	M
UY5TT98D	33	HI	42186	M
ATRL0N5V	39	MI	60486	F
RZ8JVELH	19	VE	92054	F
426LT3MJ	54	EM	56560	F
V3QM0002	26	BN	22785	F
PBE6116Y	45	DF	15610	F
54S4J2DN	55	NL	66169	F
TBDHGGG8	25	QR	77710	M
H0PFD00C	28	BS	23470	F
L810HKFX	22	NL	67110	F
3SZ5A3KN	44	MI	60010	F
7L1VSNE0	40	DU	35169	M
GBZ9DFRQ	29	QU	76226	M
2QTDHHKR	53	DF	08400	M
F4T0XCCT	30	GU	38160	M
5LY4PTS0	39	JA	44210	M
91V8UYF5	38	GU	36610	M
GX8H8NXU	26	CA	24900	M
61B90UF2	51	JA	45975	M
5GE244Q2	61	SO	85080	F
P0JGU94B	20	NL	66023	F
R3LZ9QF5	23	PU	72495	F
5X8L1FHY	57	SO	83293	M
1DUYTTND	29	ZA	99300	M
9MZURRQZ	43	DF	04350	F
J7DRXCWW	27	MI	58945	M
0VRW8KB0	68	NL	67174	F
V3ZKYNGA	41	YU	97165	M
41E6A57L	39	HI	42970	M
E78QBF8P	63	QU	76140	M
0B199MS8	81	PU	72310	F
FS8B7T9Z	26	SO	83190	M
J3N26RYC	30	SO	83106	F
X9B2APH6	31	EM	54954	M
909HGM1R	35	CO	28200	M
ZCQPN2H5	41	CU	27294	F
0JB65611	59	DF	03020	M
M19BR5L6	27	QR	77528	M
G3064LY0	33	CS	30500	F
E4CZXNV1	39	MI	60120	F
K25ZR44M	24	DF	16020	F
YSYJZUPR	21	DF	01010	F
TYP06Q1E	29	EM	57440	F
JMQ9J425	23	OA	68026	F
X7U2DA62	27	DF	15900	M
T1F21DWU	37	MI	58090	M
CWWLUY3R	48	QU	76230	F
PLWQF4ZF	25	PU	72730	F
ZH5EDFJJ	23	DF	09850	F
K7BMU051	23	GU	38245	M
HZVVHMUM	46	GO	39907	F
WXG1074V	48	NL	66050	M
11DP0KLY	69	MI	58020	F
DU72X1N7	33	MI	58280	F
HGR0JV3M	54	DF	01400	M
KCN1RAWL	26	DF	07870	M
69KAY5KP	46	DF	04480	F
07TLJ4PV	32	CU	27440	F
2E45USVZ	34	AG	20326	F
140446JA	2021	DF	09420	M
VATUSGHJ	35	HI	42852	M
P78J0XKV	32	GU	36251	M
J0NSS9KF	27	SO	83105	M
W6K41Y2N	32	SO	83117	M
CMZLK8T9	37	YU	97203	F
R1W3QDTZ	47	NA	63732	F
FB84YKKT	31	VE	91910	M
KEN5MKG8	27	GU	37700	M
0VM9BMBE	47	MI	58195	M
A09C0G1V	34	QR	77536	M
GU92XA39	30	BN	22536	F
X6XZTV0G	31	HI	42870	M
